X Y
14 184
15 184
17 184
18 184
19 184
25 184
26 184
29 184
32 184
34 184
37 183
39 183
38 183
39 183
38 183
38 183
38 182
35 182
37 182
37 182
36 182
36 182
35 182
35 182
37 183
39 183
42 183
45 183
47 183
44 184
42 184
40 184
38 185
35 185
32 185
32 185
31 186
32 186
32 186
31 187
33 187
33 187
33 187
33 187
33 187
32 187
32 186
31 186
33 186
33 185
33 185
33 185
36 185
34 184
36 184
40 184
42 184
45 183
49 183
52 183
45 183
48 183
51 183
55 183
57 183
61 183
63 184
63 184
58 184
58 185
55 185
53 185
49 185
46 185
41 186
38 186
33 186
33 186
33 186
34 186
33 186
33 186
34 186
34 185
33 185
32 185
33 185
33 185
34 184
38 184
40 184
42 184
44 184
47 183
49 183
54 183
57 183
61 183
60 183
65 183
67 183
68 184
64 184
67 184
64 185
62 185
59 185
57 185
54 186
51 187
49 187
46 187
43 187
39 188
36 188
31 188
30 188
27 188
28 188
29 188
29 188
30 188
31 188
33 187
35 187
38 187
40 186
43 186
46 185
47 185
49 185
52 184
54 184
57 184
60 184
62 183
66 183
65 183
67 183
69 184
66 184
68 184
66 184
65 184
63 184
61 185
58 185
56 185
53 185
49 185
47 185
43 186
38 186
35 186
30 186
27 186
28 186
27 186
30 186
32 185
35 185
37 185
38 185
41 185
43 185
45 184
42 184
45 184
47 184
46 183
49 183
52 183
53 183
57 183
59 183
61 183
64 183
67 183
70 183
73 184
74 184
75 184
75 184
73 185
72 185
71 185
69 185
67 185
63 185
63 186
60 186
57 186
54 186
47 186
44 186
39 186
37 186
38 186
38 186
38 185
39 185
41 185
43 185
45 185
46 185
48 184
49 184
51 184
53 183
55 183
57 183
59 183
61 183
63 183
64 182
66 182
67 182
68 182
68 182
70 183
70 183
70 183
70 183
70 183
70 183
69 183
68 184
69 184
67 184
66 184
64 184
62 184
62 184
59 184
58 184
57 184
56 184
55 184
54 184
53 184
53 184
53 184
52 184
51 184
52 184
51 184
52 183
53 184
52 183
52 184
52 183
51 184
52 183
52 183
51 183
52 183
